dataset,original_label,standardized_label,mapping_confidence,reason,notes
UNSW-NB15,Backdoor,Infiltration,Medium,Unauthorized remote access backdoors,Infiltration and persistence
UNSW-NB15,Shellcode,Exploitation,High,Injecting shellcode payloads,Payload execution exploits
UNSW-NB15,Worms,Botnet,Medium,Self-replicating malware propagation,Malicious spread/bot behavior
CIC-IDS2017,BENIGN,BENIGN,High,Benign normal traffic,Flow classified as benign
CIC-IDS2017,DDoS,DDoS,High,Distributed Denial of Service,Includes LOIC and server floods
CIC-IDS2017,PortScan,Probe/Reconnaissance,High,Port scanning flow,Discovery scan
CIC-IDS2017,Bot,Botnet,High,Botnet command & control activity,Infected client behavior
CIC-IDS2017,Infiltration,Infiltration,High,Exploiting software to infiltrate host,Privileged network penetration
CIC-IDS2017,Web Attack - Brute Force,Brute Force,High,Web form password guessing,Credential brute force
CIC-IDS2017,Web Attack - XSS,Web Attack,High,Cross-site scripting attempt,Web-based attack vector
CIC-IDS2017,Web Attack - Sql Injection,Web Attack,High,SQL Injection database query exploit,Web-based database exploit
CIC-IDS2017,FTP-Patator,Brute Force,High,FTP password brute force,Patator brute force tool
CIC-IDS2017,SSH-Patator,Brute Force,High,SSH password brute force,Patator brute force tool
CIC-IDS2017,DoS Hulk,DoS,High,Hulk HTTP Denial of Service flood,Web application DoS
CIC-IDS2017,DoS GoldenEye,DoS,High,GoldenEye HTTP DoS flood,Web application DoS
CIC-IDS2017,DoS slowloris,DoS,High,Slowloris slow connection DoS,Keep-alive connection exhaustion
CIC-IDS2017,DoS Slowhttptest,DoS,High,Slow HTTP Test connection DoS,Keep-alive connection exhaustion
CIC-IDS2017,Heartbleed,Exploitation,High,Heartbleed OpenSSL memory leak exploit,Vulnerability exploitation
CSE-CIC-IDS2018,Benign,BENIGN,High,Benign normal traffic,Flow classified as benign
CSE-CIC-IDS2018,DDOS attack-HOIC,DDoS,High,HOIC tool HTTP flood,Distributed Denial of Service
CSE-CIC-IDS2018,DDOS attack-LOIC-UDP,DDoS,High,LOIC tool UDP flood,Distributed Denial of Service
CSE-CIC-IDS2018,DDoS attacks-LOIC-HTTP,DDoS,High,LOIC tool HTTP flood,Distributed Denial of Service
CSE-CIC-IDS2018,DoS attacks-Hulk,DoS,High,Hulk HTTP Denial of Service flood,Denial of Service
CSE-CIC-IDS2018,DoS attacks-GoldenEye,DoS,High,GoldenEye HTTP DoS flood,Denial of Service
CSE-CIC-IDS2018,DoS attacks-Slowloris,DoS,High,Slowloris slow connection DoS,Denial of Service
CSE-CIC-IDS2018,DoS attacks-SlowHTTPTest,DoS,High,Slow HTTP Test connection DoS,Denial of Service
CSE-CIC-IDS2018,FTP-BruteForce,Brute Force,High,FTP password brute force,Credential brute force
CSE-CIC-IDS2018,SSH-Bruteforce,Brute Force,High,SSH password brute force,Credential brute force
CSE-CIC-IDS2018,Brute Force -Web,Web Attack,High,Web login brute force,Web credential attack
CSE-CIC-IDS2018,Brute Force -XSS,Web Attack,High,Cross-site scripting attempt,Web-based vulnerability
CSE-CIC-IDS2018,SQL Injection,Web Attack,High,SQL injection databases query exploit,Web-based database exploit
CSE-CIC-IDS2018,Bot,Botnet,High,Botnet command & control activity,Infected client behavior
CSE-CIC-IDS2018,Infiltration,Infiltration,High,Exploiting software to infiltrate host,Privileged network penetration
CSE-CIC-IDS2018,Infilteration,Infiltration,High,Misspelled label alias in raw CIC2018 files,Maps to Infiltration
UWF ZeekData,normal,BENIGN,High,Normal benign traffic in Zeek logs,Benign flow
UWF ZeekData,False,BENIGN,High,UWF label_binary benign string,Benign flow
UWF ZeekData,True,ATTACK,High,UWF label_binary attack string,Attack flow
UWF ZeekData,Reconnaissance,Probe/Reconnaissance,High,Observed UWF label_tactic value,MITRE reconnaissance
UWF ZeekData,Exfiltration,Other,Medium,Observed UWF label_tactic value,Data exfiltration
UWF ZeekData,Impact,DoS,Medium,MITRE ATT&CK Impact tactic,Includes resource hijacking/denial
UWF ZeekData,Discovery,Probe/Reconnaissance,High,MITRE ATT&CK Discovery tactic,Scans and sweeps
UWF ZeekData,Credential Access,Credential/Access Attack,High,MITRE ATT&CK Credential Access,Credential guessing/dumping
UWF ZeekData,Collection,Other,Low,MITRE ATT&CK Collection tactic,Gathering sensitive data
UWF ZeekData,Lateral Movement,Other,Medium,MITRE ATT&CK Lateral Movement,Pivoting to other hosts
UWF ZeekData,Command and Control,Botnet,Medium,MITRE ATT&CK Command & Control,Beaconing and agent C2
UWF ZeekData,Defense Evasion,Other,Low,MITRE ATT&CK Defense Evasion,Uninstalling agents/cleaning logs
UWF ZeekData,Privilege Escalation,Privilege Escalation,High,MITRE ATT&CK Privilege Escalation,Gaining administrative access
UWF ZeekData,Execution,Exploitation,Medium,MITRE ATT&CK Execution tactic,Running malicious payloads
UWF ZeekData,Initial Access,Infiltration,Medium,MITRE ATT&CK Initial Access,Entry points to network
